
Status,ID,Revision,Name,Buyer,Start,End,,Type,
Approved,CTLKTQ00001515,10,IBM - ERP Transformation System Integration Partner,Lumen,01/03/2023,12/31/2024,S,Default,
Approved,CTLKTQ00001513,0,ERP Transformation Program,Lumen,01/02/2023,12/20/2024,S,Default,
Approved,CTLKTQ00001508,1,Senior Cloud Architect Staff Supplementation,Lumen,02/20/2023,08/18/2023,S,Default,
Approved,CTLKTQ00001476,1,IBM SNOW SOW,Lumen,01/01/2023,06/30/2023,S,Default,
Approved,CTLKTQ00001470,8,CW159486 1012 FlightDeck SOW,Lumen,01/01/2023,12/31/2023,S,Default,
Approved,CTLKTQ00001456,3,GLM Development for DIA Marketplace,Lumen,01/01/2023,12/31/2023,S,Default,
Approved,CTLKTQ00001435,0,"WTX (Perl, Shell Scripting) Staffing",Lumen,01/01/2023,09/30/2024,S,Default,
Approved,CTLKTQ00001419,1,CW158052 - Colorless Metro 2023 SOW,Lumen,01/01/2023,12/31/2023,S,Default,
Approved,CTLKTQ00001413,3,SOW 1050 - IBM EIS Public Sector SOW,Lumen,01/01/2023,12/31/2023,S,Default,
Approved,CTLKTQ00001411,1,IBM SOW 1051 Solution Architect Support for Cirion Data Migration,Lumen,12/12/2022,12/11/2023,S,Default,
Approved,CTLKTQ00001390,0,CW157105 - IBM Brightspeed TSA Customer Process Support,Lumen,11/16/2022,10/06/2023,S,Default,
Approved,CTLKTQ00001388,2,IBM Brightspeed TSA Program Management,Lumen,11/01/2022,12/31/2023,S,Default,
Approved,CTLKTQ00001380,7,IBM Mass Markets Salesforce Support and Enhancement,Lumen,02/01/2022,09/30/2023,S,Default,
Approved,CTLKTQ00001376,0,IBM SOW 1035 TSA Cirion and Brightspeed PM,Lumen,11/01/2022,04/30/2024,S,Default,
Approved,CTLKTQ00001375,2,IBM SOW 1048 - SAP Cirion TSA Support Resources,Lumen,11/01/2022,12/31/2023,S,Default,
Approved,CTLKTQ00001374,1,SOW 1044 Brightspeed IBM EASE and MOB SOW,Lumen,11/01/2022,10/31/2023,S,Default,
Approved,CTLKTQ00001366,3,1038 SWIFT Contract Term Data for Service Master,Lumen,10/31/2022,09/29/2023,S,Default,
Approved,CTLKTQ00001361,2,ServiceNow Implementation for Public Sector,Lumen,11/01/2022,09/30/2023,S,Default,
Approved,CTLKTQ00001341,6,IBM TSA Support Wilson Ops Team Request for SOW Object,Lumen,10/17/2022,10/16/2023,S,Default,
Approved,CTLKTQ00001336,2,SLV Data Migration and Support,Lumen,06/13/2022,04/30/2023,S,Default,
Approved,CTLKTQ00001303,12,IBM - Network Inventory Migration from LFACS to QF,Lumen,09/01/2022,08/31/2023,S,Default,
Approved,CTLKTQ00001297,1,IBM SASE SDWAN,Lumen,06/01/2022,03/31/2023,S,Default,
Approved,CTLKTQ00001275,8,IBM RPO for NA Operations Hiring,Lumen,09/01/2022,08/31/2025,S,Default,
Approved,CTLKTQ00001231,5,IBM LL/NN Migration SOW,Lumen,07/01/2022,12/31/2023,S,Default,
Approved,CTLKTQ00001179,2,IBM Service Order Management Implementation in ServiceNow,Lumen,03/01/2022,12/31/2022,S,Default,
Approved,CTLKTQ00001114,5,Brightspeed IBM UAT,Lumen,04/01/2022,10/07/2022,S,Default,
Approved,CTLKTQ00001056,1,Itential DDOS Testing,Lumen,04/01/2022,02/29/2024,S,Default,
Approved,CTLKTQ00001052,7,Request for 2 SDWAN Testers,Lumen,01/01/2022,08/31/2023,S,Default,
Approved,CTLKTQ00000932,8,IBM ServiceNow Implementation resources,Lumen,11/15/2021,03/31/2023,S,Default,
Approved,CTLKTQ00000844,6,IBM DevOps Automation Resources,Lumen,10/25/2021,12/31/2023,S,Default,
Approved,CTLKTQ00000749,9,IBM CCR 051 - LATAM One Services BT,Lumen,07/01/2021,03/31/2027,S,Default,
Approved,CTLKTQ00000623,28,IBM Mass Market Dispatch Consolidation SOW,Lumen,02/01/2021,08/30/2023,S,Default,
Approved,CTLKTQ00000599,9,IBM WTX Staffing SOW,Lumen,02/01/2021,12/31/2023,S,Default,
Approved,CTLKTQ00000577,7,AG Audit Services - IBM,Lumen,01/01/2021,12/31/2024,S,Default,
